Id,Date,Location of Spaces,No of Spaces,Purpose,Date Suspended,Date Expired,Amount Paid
1502,25-May-06,Amien Street (Opposite Connelly Station),4,Roadhog,01-Jun-06,01-Jun-06,152.00
1503,25-May-06,St. Stephens Green,4,Roadhog,15-Jun-06,15-Jun-06,152.00
1504,25-May-06,St. Stephens Green,4,Roadhog,10-Jun-06,10-Jun-06,152.00
1505,25-May-06,Merrion Road,4,Roadhog,28-Jun-06,28-Jun-06,152.00
1506,26-May-06,Smithfield South,6,Joyo Bonito Nike Tournament,25-May-06,27-May-06,0.00
1507,26-May-06,Princes Street,4,To allow traffic to flow freely,27-May-06,27-May-06,152.00
1508,29-May-06,St. Annes Road North,6,Construction of Granite Footpath on Drumcondra Rd,25-May-06,25-Aug-06,0.00
1509,29-May-06,Princes Street,4,To allow traffic to flow freely,29-May-06,02-Jun-06,760.00
1510,29-May-06,Gloucester Street,4,To allow traffic to flow freely,29-May-06,02-Jun-06,760.00
1511,29-May-06,Townsend Street,2,To allow traffic to flow freely,29-May-06,02-Jun-06,380.00
1512,30-May-06,Stephens Green West,4,Outside Broadcast,05-Jun-06,05-Jun-06,152.00
1513,30-May-06,North Circular Road,4,Outside Broadcast,09-Jun-06,09-Jun-06,121.60
1514,30-May-06,Fitzwilliam Square North,6,To load office furniture,31-May-06,31-May-06,228.00
1515,30-May-06,Merrion Square West - Park Side,12,Bloomsday Pageant,16-Jun-06,16-Jun-06,0.00
1516,01-Jun-06,Townsend Street,2,To allow traffic to flow while loading,06-Jun-09,09-Jun-06,304.00
1517,01-Jun-06,Parnell Square West,10,Dismantle of Tower Crane,03-Jun-06,03-Jun-06,380.00
1518,02-Jun-06,Prince's Street,4,To allow traffic to flow while loading,10-Jun-06,16-Jun-06,"1,064.00"
1519,02-Jun-06,Gloucester Street,4,To allow traffic to flow while loading,10-Jun-06,16-Jun-06,"1,064.00"
1520,02-Jun-06,Townsend Street,2,To allow traffic to flow while loading,10-Jun-06,16-Jun-06,532.00
1521,02-Jun-06,Stphens Green (Front of No. 16),3,Furniture Delivery Lorry,09-Jun-06,09-Jun-06,114.00
1522,02-Jun-06,Lower Fitzwilliam Street (Clifton Mews),3,Furniture Delivery Lorry,09-Jun-06,09-Jun-06,114.00
1523,02-Jun-06,Lower Fitzwilliam Street (Clifton Mews),3,Furniture Delivery Lorry,13-Jun-06,13-Jun-06,114.00
1524,01-Jun-06,Gloucester Street,4,To allow traffic to flow while loading,06-Jun-06,09-Jun-06,608.00
1525,07-Jun-26,12 Argyle Road,1,Permanent removal of parking space,,,"1,400.00"
1526,08-Jun-06,Railway Street,5,Off loading of Kitchen Units to Site,16-Jun-06,16-Jun-06,152.00
1527,09-Jun-06,Simmonscourt Road,7,To Lay Surface - Water Drain,19-Jun-06,09-Jul-06,"3,192.00"
1528,12-Jun-06,Sandwith Street Lower,7,Site Compound,12-Jun-06,01-Mar-07,0.00
1529,13-Jun-06,Haddington Road (Front of main building),3,Delivery,16-Jun-06,16-Jun-06,114.00
1530,14-Jun-06,Prince's Street,4,To allow traffic to flow while loading,17-Jun-06,23-Jun-06,912.00
1531,14-Jun-06,Gloucester Street,4,To allow traffic to flow while loading,17-Jun-06,23-Jun-06,912.00
1532,14-Jun-06,Townsend Street,2,To allow traffic to flow while loading,17-Jun-06,23-Jun-06,456.00
1533,16-Jun-06,Nassau Street,3,Live Broadcast,19-Jun-06,19-Jun-06,0.00
1534,19-Jun-06,South Richmond Street,6,The Footpath Enhancement Project,19-Jun-06,18-Jul-06,0.00
1535,19-Jun-06,Mayors Square IFSC,2,Test  Drive Promotion,22-Jun-06,22-Jun-06,60.80
1536,19-Jun-06,Kenilworth Square East,10,To Facilatate Filiming,21-Jun-06,21-Jun-06,151.80
1537,19-Jun-06,Grosvenor  Road,6,To Facilate Filiming,21-Jun-06,21-Jun-06,253.00
1538,19-Jun-06,Windsor Terrace,6,To Facilate Film Vehicles,21-Jun-06,21-Jun-06,228.00
1539,19-Jun-06,Ringsend Road,6,To facilate film Vehicles,22-Jun-06,22-Jun-06,182.40
1540,19-Jun-06,Grand Canal Street Lower,4,To Facilate Film Vehicles,23-Jun-06,23-Jun-06,152.00
1541,19-Jun-06,Henrietta Street,4,To Facilate Film Vehicles,23-Jun-06,23-Jun-06,152.00
1542,20-Jun-06,"17, Shops, New Cabra Road, Cabra Dublin 7",2,Information Vehicle,27-Jun-06,28-Jun-06,101.20
1543,20-Jun-06,Hutton & Meath Garage North Circular Road,4,Outside Broadcast,25-Jun-06,25-Jun-06,152.00
1544,01-Aug-06,Pembroke Road,4,The Parking Of The 'Roadhog',16-Aug-06,16-Aug-06,152.00
1545,22-Jun-06,Fishamble Street,3,Filming,10-Jul-06,10-Jul-06,114.00
1546,22-Jun-06,Castle Street,4,Filming,10-Jul-06,10-Jul-06,152.00
1547,22-Jun-06,Stephens Green East,3,Parade Float,24-Jun-06,24-Jun-06,0.00
1548,22-Jun-06,Parnell Square,4,Parade Float,24-Jun-06,24-Jun-06,0.00
1549,22-Jun-06,Wolfe Tone Street,2,Promtional Vehicles,23-Jun-06,24-Jun-06,152.00
1550,03-Jul-06,King's Inns Street,16,Filming,11-Jul-06,11-Jul-06,608.00
1551,03-Jul-06,Crane Street,5,Filming,05-Jul-06,05-Jul-06,152.00
1552,23-Jun-06,Wolfe Tone Street,4,Filming,29-Jun-06,29-Jun-06,152.00
1553,23-Jun-06,Mary Street,3,Filming,29-Jun-06,29-Jun-06,114.00
1554,23-Jun-06,Chatham Street,5,Filming,26-Jun-06,26-Jun-06,190.00
1555,23-Jun-06,Pearse Street,6,Filming,05-Jul-06,05-Jul-06,182.40
1556,23-Jun-06,Poolbeg Street,6,Filming,06-Jul-06,06-Jul-06,228.00
1557,23-Jun-06,Dame Court,7,Filming,30-Jun-06,30-Jun-06,266.00
1558,26-Jun-06,Prince's Street,4,To allow traffic to flow while loading,24-Jun-06,30-Jun-06,912.00
1559,26-Jun-06,Gloucester Street,4,To allow traffic to flow while loading,24-Jun-06,30-Jun-06,912.00
1560,26-Jun-06,Shelbourne Road,2,Loading & Unloading,24-Jun-06,24-Jul-06,"1,976.00"
1561,29-Jun-06,Prince's Street,4,The Free-Flow Of Traffic Whilst Loading/Unloading,01-Jul-06,07-Jul-06,912.00
1562,29-Jun-06,Gloucester Street,4,The Free-Flow Of Traffic Whilst Loading/Unloading,01-Jul-06,07-Jul-06,912.00
1563,29-Jun-06,Townsend Street,2,The Free-Flow Of Traffic Whilst Loading/Unloading,01-Jul-06,07-Jul-06,456.00
1564,29-Jun-06,Drumcondra Road Lower,4,To Facilate Roadhog,16-Jul-06,16-Jul-06,101.20
1565,30-Jun-06,Clarendon Row,4,To Facilate Filiming,03-Jul-06,03-Jul-06,151.00
