Id,Date,Location of Spaces,No of Spaces,Purpose,Date Suspended,Date Expired,Amount Paid
3749,02-Jun-09,St. Stephens Green North,6,Bikes delivery & pick up for the Charity Bloomsday Bike Rally,12-Jun-09,12-Jun-09,0.00
3750,02-Jun-09,Amiens Street,4,Outside Broadcast Unit (This permit begins at 10.00am and expires at 16.00pm),03-Jun-09,03-Jun-09,200.00
3751,04-Jun-09,North Wall Quay,4,Outside broadcast,04-Jun-09,04-Jun-09,164.00
3752,05-Jun-09,Lennox Street,6,Film Vehicles,11-Jun-09,11-Jun-09,246.00
3753,05-Jun-09,Hatch Street,5,Blood Donation Clinic,08-Jun-09,10-Jun-09,0.00
3754,05-Jun-09,Townsend Street,5,Temporary Site Compound,06-Jun-09,14-Jun-09,0.00
3755,05-Jun-09,Burlington Road,6,Road Realignment,08-Jun-09,10-Jun-09,900.00
3756,05-Jun-09,Fitzwilliam Place,4,Moving Office,19-Jun-09,19-Jun-09,200.00
3757,08-Jun-09,Chatham Street,4,Roadhog,10-Jun-09,10-Jun-09,200.00
3758,08-Jun-09,Cornmarket (Outside Farrell and Ball),4,Roadhog,18-Jun-09,18-Jun-09,200.00
3759,08-Jun-09,Parnell Square East,8,Filming in Rotunda (Pillar Room),11-Jun-09,11-Jun-09,400.00
3760,10-Jun-09,Burlington Road,6,Road Realignment,08-Jun-09,10-Jun-09,900.00
3761,10-Jun-09,Stephens Green East,2,Marshell's Office for the Exhibition,26-Jun-09,28-Jun-09,0.00
3762,10-Jun-09,Stephens Green East,2,Marshell's Office for the Exhibition,21-Aug-09,23-Aug-09,0.00
3763,10-Jun-09,Stephens Green East,2,Marshell's Office for the Exhibition,18-Sep-09,20-Sep-09,0.00
3764,10-Jun-09,Burlington Road,12,Pedestrian Safety,11-Jun-09,11-Jun-09,600.00
3765,12-Jun-09,Francis Street,4,Emergency Roof Repair,12-Jun-09,12-Jun-09,200.00
3766,15-Jun-09,Stephen's Green North,4,Outside Broadcast,17-Jun-09,17-Jun-09,204.00
3767,16-Jun-09,Health Centre Ratdown Rd.,5,Blood Donations,24-Jun-09,24-Jun-09,0.00
3768,23-Jun-09,Hatch Street,8,Blood Donations,06-Jul-09,06-Jul-09,0.00
3769,23-Jun-09,St. Stephens Green North,3,Outside Broadcast,03-Jul-09,03-Jul-09,150.00
3770,24-Jun-09,St. Stephens Green North,7,Outside Broadcast,27-Jun-09,27-Jun-09,350.00
3771,01-Jul-09,Jervis Street,5,To remove Machinery,07-Jul-09,08-Jul-09,500.00
3772,07-Jul-09,Fosters Place South,3,Fundraising,12-Oct-09,25-Oct-09,0.00
3773,09-Jul-09,Parnell Square West,2,To work either side of skip,08-Jul-09,13-Jul-09,600.00
3774,14-Jul-09,St. Stephens Green East,4,Charity Cannonball Run for Barretstown,15-Jul-09,15-Jul-09,0.00
3775,14-Jul-09,Fitzwilliam Place,3,Moving Offices,30-Jul-09,30-Jul-09,150.00
3776,16-Jul-09,Eccles Street (Outside entrance to old Mater Hospital),6,Blood donations,17-Jul-09,17-Jul-09,0.00
3777,20-Jul-09,Winton Road,8,Filming,21-Jul-09,21-Jul-09,328.00
3778,22-Jul-09,Barrow Street,5,Blood Donations,29-Jul-09,30-Jul-09,0.00
3779,22-Jul-09,Eccles Street,6,Blood Donations,31-Jul-09,31-Jul-09,0.00
3780,22-Jul-09,Hendrick Street,6,Blood Donations,07-Aug-09,07-Aug-09,0.00
3781,22-Jul-09,St. Stephens Green North,4,Furniture Removal,23-Jul-09,24-Jul-09,400.00
3782,27-Jul-09,Cook Street (10 on Coach Parking Side),20,Parking of Film Service Vehicles,30-Jul-09,30-Jul-09,"1,000.00"
3783,30-Jul-09,Parnell Square East,3,Filming in the Garden of Remembrance,31-Jul-09,31-Jul-09,150.00
3784,05-Aug-09,Gordon Street,2,Filming Vehicles,07-Aug-09,07-Aug-09,82.00
3785,05-Aug-09,Somerset Street,2,Filming Vehicles,07-Aug-09,07-Aug-09,82.00
3786,05-Aug-09,Doris Street,10,Filming Vehicles,07-Aug-09,07-Aug-09,410.00
3787,05-Aug-09,Fishamble Street,5,3801,19-Aug-09,20-Aug-09,500.00
3788,07-Aug-09,Leeson St. Upper,3,Removal Truck,07-Aug-09,07-Aug-09,150.00
3789,13-Aug-09,St. Stephens Green North,7,Outside Broadcast,16-Aug-09,16-Aug-09,550.00
3790,13-Aug-09,Eccles Street,6,Blood Donations,14-Aug-09,14-Aug-09,0.00
3791,14-Aug-09,Mespil Road,6,Roadhog,18-Aug-09,18-Aug-09,300.00
3792,26-Aug-09,Eccles Street,6,Blood Donations,28-Aug-09,28-Aug-09,0.00
3793,26-Aug-09,Merrion Square South,150,Cannonball Run for Barretstown Camp,11-Sep-09,11-Sep-09,0.00
3794,28-Aug-09,New Cabra Road,4,Outside Broadcast,02-Sep-09,02-Sep-09,0.00
3795,09-Sep-09,Stephens Green West,4,Filming,11-Sep-09,11-Sep-09,200.00
3796,09-Sep-09,Dame Court,2,Filming,14-Sep-09,14-Sep-09,100.00
3797,09-Sep-09,St Stephen's Green North,7,Outside Broadcast,13-Sep-09,13-Sep-09,350.00
3798,09-Sep-09,Parkgate Street,5,Outside Broadcast,14-Sep-09,14-Sep-09,0.00
3799,10-Sep-09,Simmondscourt road,4,Outside Broadcast,12-Sep-09,12-Sep-09,200.00
3800,15-Sep-09,Fishamble Street,5,Filming,22-Sep-09,22-Sep-09,0.00
3801,15-Sep-09,St. Stephen's Green North,5,Outside Broadcast,16-Sep-09,16-Sep-09,200.00
3802,15-Sep-09,Hatch Street,12,Guinness 250 Event,23-Sep-09,24-Sep-09,"1,200.00"
3803,15-Sep-09,The Lotts,12,Guinness 250 Event,23-Sep-09,24-Sep-09,"1,200.00"
3804,16-Sep-09,Merrion Square South,1,City Chase Event,19-Sep-09,19-Sep-09,0.00
3805,16-Sep-09,Merrion Square South,4,Broadcast,19-Sep-09,19-Sep-09,200.00
3806,21-Sep-09,St. Stephen's Green North,5,Broadcast,22-Sep-09,22-Sep-09,250.00
3807,22-Sep-09,Villiers Road,3,Film Vehicles,24-Sep-09,24-Sep-09,57.00
3808,22-Sep-09,Donnybrook Village (Outside the Mall),5,Thunderbus,24-Sep-09,24-Sep-09,205.00
3809,22-Sep-09,Hatch Street,6,Blood Donation Clinic,29-Sep-09,29-Sep-09,0.00
3810,24-Sep-09,New Cabra Road,2,Information Unit,09-Oct-09,09-Oct-09,54.00
3811,24-Sep-09,Wolfe Tone St,4,Roadhog,23-Oct-09,23-Oct-09,200.00
3812,25-Sep-09,Richmond Street South,2,ATM Swapout,28-Sep-09,28-Sep-09,100.00
3813,25-Sep-09,Leicester Avenue/Kenilworth Square,17,Religious Gathering,28-Sep-09,28-Sep-09,171.36
3814,29-Sep-09,Temple Street North,7,Load and unloading of Set,03-Oct-09,03-Oct-09,287.00
3815,29-Sep-09,Temple Street North,7,Load and unloading of Set,12-Oct-09,12-Oct-09,287.00
3816,29-Sep-09,Wolfe Tone Street,8,Filming,30-Sep-09,30-Sep-09,400.00
3817,29-Sep-09,Mary Street,2,Filming,30-Sep-09,30-Sep-09,100.00
3818,29-Sep-09,Hanover Quay,3,Filming,01-Oct-09,01-Oct-09,81.00
3819,29-Sep-09,St. Stevens Green North,4,Roadhog,04-Oct-09,04-Oct-09,200.00
3820,29-Sep-09,Anglesea Road,4,Roadhog,03-Oct-09,03-Oct-09,200.00
3821,22-Sep-09,St.Stephen's Green North,5,Thunderbus,07-Oct-09,07-Oct-09,95.00
3822,30-Sep-09,Kingram Place,4,Blood Donation Clinic,20-Oct-09,20-Oct-09,155.00
3823,30-Sep-09,Eccles Street,6,Blood Donation Clinic,09-Oct-09,09-Oct-09,0.00
3824,02-Oct-09,Eccles Street,6,Blood Donation Clinic,23-Oct-09,23-Oct-09,0.00
3825,06-Oct-09,Saint Stephen's Green South,2,Wedding,10-Oct-09,10-Oct-09,100.00
3826,06-Oct-09,Kenilworth Sq/Leicester Ave,,Religious Event,27-Sep-09,27-Sep-09,171.36
3827,06-Oct-09,Fade Street,2,Loading and Unloading,07-Oct-09,07-Oct-09,100.00
3828,06-Oct-09,Fishamble Street,5,Film Service Vehicles,15-Oct-09,15-Oct-09,250.00
3829,29-Sep-09,Anglesea Road,2,Hoggie,09-Oct-09,09-Oct-09,82.00
3830,12-Oct-09,Sheriff Street Upper,3,Site Investigation Works,13-Oct-09,10-Nov-09,594.00
3831,13-Oct-09,Ashfield Road,5,Filming,13-Oct-09,13-Oct-09,135.00
3832,13-Oct-09,St. Vincent St. South,1,Painting,14-Oct-09,16-Oct-09,123.00
3833,13-Oct-09,"Windsor Terrace, Dublin 8",2,Filming,19-Oct-09,19-Oct-09,82.00
3834,13-Oct-09,"Longwood Avenue, Dublin 8",2,Filming,19-Oct-09,19-Oct-09,82.00
3835,16-Oct-09,"Adelaide Road, Dublin 2",3,Filming,19-Oct-09,19-Oct-09,150.00
3836,16-Oct-09,Fitzwilliam Square,3,Relocating,16-Oct-09,17-Oct-09,300.00
3837,19-Oct-09,Bishop Street,6,Blood Donation Clinic,19-Oct-09,19-Oct-09,0.00
3838,19-Oct-09,Rathmines Road Upper (not in clearway),4,Thunderbus,20-Oct-09,20-Oct-09,108.00
3839,20-Oct-09,Anglesea Road,2,Hoggie,31-Oct-09,31-Oct-09,100.00
3840,21-Oct-09,"Eccles Stree, Dublin 7",6,Blood Donation Clinic,06-Nov-09,06-Nov-09,0.00
3841,22-Oct-09,Cook Street,5,Filming,28-Oct-09,29-Oct-09,500.00
3842,22-Oct-09,Fishamble Street,4,Filming,28-Oct-09,29-Oct-09,400.00
3843,23-Oct-09,Ranelagh (opposite Superquinn),4,OBU,28-Oct-09,28-Oct-09,164.00
3844,28-Oct-09,Stephens Green (opposite the Shelbourne Hotel),4,Roadhog,12-Dec-09,12-Dec-09,200.00
3845,29-Oct-09,Upper Drumcondra Road,4,OBU,04-Nov-09,04-Nov-09,76.00
3846,29-Oct-09,Temple Street,7,Programme Recording,04-Nov-09,04-Nov-09,350.00
3847,03-Nov-09,Merrion Square West,3,Painting exterior of building,10-Nov-09,12-Nov-09,450.00
3848,10-Nov-09,Kenilworth Square,15,Filming,16-Nov-09,16-Nov-09,405.00
3849,10-Nov-09,St. Stephens Green,4,Charity fundraising campaign - Holly Days,10-Dec-09,,0.00
3850,11-Nov-09,Anglesea Road (outside the Herbert Park Hotel),4,Roadhog,21-Nov-09,21-Nov-09,164.00
3851,11-Nov-09,Merrion Square,6,Office move,11-Dec-09,12-Dec-09,600.00
3852,11-Nov-09,Eccles Street,6,Blood donation clinic,27-Nov-09,27-Nov-09,0.00
3853,12-Nov-09,Lennox Street,6,Filming,18-Nov-09,18-Nov-09,246.00
3854,12-Nov-09,Richmond Street South,6,Filming,18-Nov-09,18-Nov-09,246.00
3855,12-Nov-09,Lennox Street,6,Filming,18-Nov-09,18-Nov-09,246.00
3856,12-Nov-09,Lennox Street,4,Filming,18-Nov-09,18-Nov-09,164.00
3857,16-Nov-09,6 Ely Place,1,To temporarily place a metropanel outside Mediaedge offices,18-Nov-09,18-Nov-09,50.00
3858,17-Nov-09,Ballsbridge Avenue,2,Creation of a temporary loading bay,21-Nov-09,21-Nov-09,82.00
3859,17-Nov-09,Merrion Road,6,Construction of a Rugby fan zone,21-Nov-09,21-Nov-09,246.00
3860,17-Nov-09,Hatch Street @ Hibernian Aviva,6,Blood donation clinic,30-Nov-09,02-Dec-09,0.00
3861,18-Nov-09,Simmonscourt Road (outside RDS),7,OBU & 3 jeeps,21-Nov-09,21-Nov-09,287.00
3862,18-Nov-09,Blackpitts near Warrenmount Place,2,Film vehicles,24-Nov-09,24-Nov-09,82.00
3863,18-Nov-09,Newmarket,8,Film vehicles,24-Nov-09,24-Nov-09,328.00
3864,20-Nov-09,Kenilworth Square,15,Film Vehicles,23-Nov-09,23-Nov-09,405.00
3865,20-Nov-09,Moss Street,6,Blood donation clinic @ Pioneer investments,03-Dec-09,03-Dec-09,0.00
3866,23-Nov-09,Temple Street,7,Programme recording,25-Nov-09,25-Nov-09,287.00
3867,23-Nov-09,Macken Street,15,to facilitate surfacing of carriageway,28-Nov-09,05-Dec-09,0.00
3868,23-Nov-09,Hatch Street,15,Film vehicles,30-Nov-09,01-Dec-09,"1,500.00"
3869,30-Nov-09,"Pembroke Cottages/Home Villas, Donnybrook",5,filming of TV Commercial in Herbert Park,02-Dec-09,02-Dec-09,205.00
3870,01-Dec-09,Anglesea Road,4,Roadhog,19-Dec-09,,164.00
3871,01-Dec-09,Camden Row,10,filming vehicles,07-Dec-09,08-Dec-09,"1,000.00"
3872,02-Dec-09,New Bride Street,5,filming vehicles,07-Dec-09,08-Dec-09,500.00
3873,02-Dec-09,Stephens Green(opposite Sony Centre/Shelbourne Hotel),7,OBU and 3 jeeps,11-Dec-09,11-Dec-09,350.00
3874,02-Dec-09,Eccles Street,6,Blood donation clinic @ Mater Hospital,11-Dec-09,11-Dec-09,0.00
3875,03-Dec-09,Dawson Street,2,Unloading,04-Dec-09,05-Dec-09,200.00
3876,07-Dec-09,"North Lotts, Dublin 1",1,uplink van for Academy music venue,09-Dec-09,09-Dec-09,50.00
3877,09-Dec-09,Lotts Lane,1,generator parking for extra parking in the academy,09-Dec-09,09-Dec-09,50.00
3878,10-Dec-09,Mount St. Crescent,2,Restoration Work,10-Dec-09,31-Jan-10,0.00
3879,10-Dec-09,"Talbot Street, Dublin 2",6,blood donation clinic @ BOI Global Markets,11-Jan-10,12-Jan-10,0.00
3880,14-Dec-09,"Herbert Place, Dublin 2",8,Film vheicles,18-Dec-09,18-Dec-09,400.00
3881,14-Dec-09,"Warrington Place, Dublin 2",3,Film vehicles,18-Dec-09,18-Dec-09,150.00
3882,14-Dec-09,"Dame Court, Dublin 2",6,Film Vehicles,17-Dec-09,17-Dec-09,300.00
3883,14-Dec-09,"Pembroke Cottages, Donnybrook, Dublin 4",4,film vehicles,17-Dec-09,18-Dec-09,328.00
3884,15-Dec-09,Simmonscourt Road(outside RDS),4,OBU,19-Dec-09,19-Dec-09,164.00
3885,15-Dec-09,Simmonscourt Road(outside RDS),4,OBU,26-Dec-09,26-Dec-09,0.00
3886,15-Dec-09,outside John Schutte Associates & Teatime Express,1,use of removal van,06-Jan-10,06-Jan-10,50.00
3887,15-Dec-09,Dame Court,2,film vehicles,17-Dec-09,17-Dec-09,100.00
3888,07-Jan-10,Hendrick Street,6,blood donation clinic @ probation services Smithfield,18-Jan-10,18-Jan-10,0.00
3889,11-Jan-10,Eccles Street,6,blood donation clinic @ Mater Hospital,22-Jan-10,22-Jan-10,0.00
3890,11-Jan-10,Hatch Street,6,blood donation clinic @ Delotte & Touche,29-Jan-10,29-Jan-10,0.00
3891,13-Jan-10,Shelbourne Road - outside Starbucks Café,6,blood donation clinic,16-Feb-10,16-Feb-10,0.00
3892,18-Jan-10,Benson Street,3,filming of scene for TV commercial,21-Jan-10,21-Jan-10,81.00
3893,18-Jan-10,Pearse Street (between Lombert Street and Sandwith Street),2,working on Biosience sight,19-Jan-10,19-Jan-10,100.00
3894,21-Jan-10,Drumcondra (outside Hession Hair Salon),4,Outside Broadcast,25-Jan-10,25-Jan-10,76.00
3895,20-Jan-10,Mountjoy Square,6,blood donation clinic @ DIT mountjoy,11-Feb-10,11-Feb-10,0.00
3896,21-Jan-10,St. Stephens Green (between Dawson Street and Kildare Street),3,Radio outside broadcast,25-Jan-10,25-Jan-10,150.00
3897,22-Jan-10, 27 Upper Mount Street,1,office move,29-Jan-10,29-Jan-10,50.00
3898,22-Jan-10,Benson Street,6,blood donation clinic,27-Jan-10,27-Jan-10,0.00
3899,22-Jan-10,"St. John's Road, Sandymount",6,filming,25-Jan-10,26-Jan-10,228.00
3900,22-Jan-10,124 Stephens Green,6,blood donation clinic @ Bank of Scotland,26-Jan-10,26-Jan-10,0.00
3901,28-Jan-10,"Glouchester Square, Railway Street",2,delivery of household goods,03-Feb-10,03-Feb-10,82.00
3902,28-Jan-10,Hatch Street,12,coach parking,13-Feb-10,13-Feb-10,450.00
3903,28-Jan-10,Merrion Square North (end intersecting with west),5,exhibition truck,08-Feb-10,08-Feb-10,250.00
3904,29-Jan-10,Mount Streeet Crescent,2,restoration work,01-Feb-10,21-Feb-10,0.00
3905,01-Feb-10,"Stephen's Green East (17), North (10), Hume Street (37), South Ann Street (8) spaces.",72,filming in the Shelbourne Hotel,06-Feb-10,07-Feb-10,"3,900.00"
3906,01-Feb-10,"St. Stephen's Green (44 spaces), St. Stephen's Green North (12 spaces)",56,filming,14-Feb-10,15-Feb-10,"3,140.00"
3907,02-Feb-10,"17 Shops, New Cabra Road",2,moblie information unit,12-Feb-10,12-Feb-10,54.00
3908,03-Feb-10,St. Stephens Green (opposite Shelbourne Hotel),4,Roadhog,12-Feb-10,12-Feb-10,200.00
3909,05-Feb-10,Joy Street (2 spaces) and Penrose Street (2 spaces),4,filming of scene for TV commercial,09-Feb-10,09-Feb-10,164.00
3910,08-Feb-10,2 Waterloo Road,2,collection of household goods,10-Feb-10,10-Feb-10,100.00
3911,09-Feb-10,"Aungier Street, Redmond's Hill",6,blood donation clinic @ International Fund Services,19-Feb-10,19-Feb-10,0.00
3912,09-Feb-10,Bride Street,6,blood donation clinic @ FGS (accountancy consultants),02-Mar-10,02-Mar-10,0.00
3913,09-Feb-10,Clarendon Street,6,blood donation clinic @ Brown Thomas,22-Apr-10,22-Apr-10,0.00
3914,09-Feb-10,"Jervis Street, between car park and the Church Restaurant",5,parking Library bus and associated vehicles as part of the Chinese New Year carnival event,14-Feb-10,14-Feb-10,125.00
3915,12-Feb-10,Eccles Street,6,blood donation clinic @ Mater Hospital,26-Feb-10,26-Feb-10,0.00
3916,18-Feb-10,Mount Street Crescent,2,restoration work,22-Feb-10,07-Mar-10,0.00
3917,23-Feb-10,"Aungier Street, Redmonds Hill",6,blood donation clinic @ DIT Aungier Street,25-Feb-10,25-Feb-10,0.00
3918,24-Feb-10,Swifts Row,3,public lighting repair works,01-Mar-10,05-Mar-10,0.00
3919,24-Feb-10,Earlsfort Terrace,6,blood donation clinic @ Irish Medicines Board,01-Mar-10,01-Mar-10,0.00
3920,26-Feb-10,Hatch Street,6,blood donation clinic @ Hibernian  Aviva,09-Mar-10,11-Mar-10,0.00
3921,03-Mar-10,Ballyfermot Road (Shopping Area),5,Maire Keating Info Bus,08-Mar-10,08-Mar-10,0.00
3922,09-Mar-10,Eccles Street,6,blood donation clinic @ Mater Hospital,26-Mar-10,26-Mar-10,0.00
3923,10-Mar-10,Moss Street,6,blood donation clinic @ RBC Dexia,29-Mar-10,29-Mar-10,0.00
3924,11-Mar-10,St. Stephen's Green (opposite the Shelbourne Hotel),3,to park Viking Splash Tour vehicle for the purpose of promotiong Daffodil Day,26-Mar-10,26-Mar-10,0.00
3925,12-Mar-10,Mountjoy Square,5,public kiosk,13-Mar-10,13-Mar-10,250.00
3926,19-Mar-10,Adelaide Road,6,blood donation clinic @ Marsh Ireland,08-Apr-10,08-Apr-10,0.00
3927,19-Mar-10,Barrow Street,6,blood donation clinic @Willis Ins. Company,15-Apr-10,15-Apr-10,0.00
3928,23-Mar-10,Eccles Street,6,blood donation clinic @ Mater Hospital,23-Apr-10,23-Apr-10,0.00
3929,30-Mar-10,corner of Molesworth Street,2,live broadcast for Bloomberg TV,30-Mar-10,30-Mar-10,100.00
3930,31-Mar-10,St. Stephens Green - Luas side (outside Unitarian Church),2,parking of a satellite van to broadcast Live lyric show from indise the Church,02-Apr-10,02-Apr-10,100.00
3931,31-Mar-10,North Lotts,12,filming,06-Apr-10,06-Apr-10,600.00
3932,31-Mar-10,Burgh Quay,14,filming,06-Apr-10,06-Apr-10,700.00
3933,01-Apr-10,Molesworth Street,2,loading/unloading of exhibition,19-Apr-10,19-Apr-10,100.00
3934,01-Apr-10,Molesworth Street,2,loading/unloading of exhibition,21-Apr-10,21-Apr-10,100.00
3935,01-Apr-10,Donovans Lane,5,filming,07-Apr-10,07-Apr-10,205.00
3936,01-Apr-10,Blackpitts,10,filming,07-Apr-10,07-Apr-10,410.00
3937,07-Apr-10,Palace Street,2,FM104 truck,09-Apr-10,09-Apr-10,100.00
3938,08-Apr-10,"Merrion Road, Ballsbridge",6,construction of a rugby fan zone,09-Apr-10,09-Apr-10,246.00
3939,08-Apr-10,Ballsbridge Avenue,2,construction of a temporary loading bay,09-Apr-10,09-Apr-10,82.00
3940,13-Apr-10,Bride Street,6,blood donation clinic @ FGS,02-Jun-10,02-Jun-10,0.00
3941,13-Apr-10,Earlsfort Terrace,6,blood donation clinic @ Irish Med. Board,01-Jun-10,01-Jun-10,0.00
3942,15-Apr-10,"Kennilworth Square, south and east",10,film vehicle,16-Apr-10,16-Apr-10,270.00
3943,16-Apr-10,Clonmel Street (off Harcourt Streett),10,ease of access to Taste of Ireland,08-Jun-10,12-Jun-10,"2,000.00"
3944,23-Apr-10,Stephens Green (opp Shelbourne Hotel),10,roadhog,04-May-10,04-May-10,500.00
3945,23-Apr-10,Fishamble Street,4,filming of TV Commercial inside Smock Alley,26-Apr-10,26-Apr-10,200.00
3946,27-Apr-10,Grand Canal Quay,3,promotional activity,03-May-10,05-May-10,246.00
3947,27-Apr-10,Dame Court,18,festival,01-May-10,02-Apr-10,0.00
3948,27-Apr-10,Upper Sherrif Street,2,Filming,28-Apr-10,29-Apr-10,164.00
3949,28-Apr-10,Hatch Street Upper,2,security parking for Minister of Health Mary Harney,29-Apr-10,19-Apr-10,100.00
3950,05-May-10,Wilton Terrace,6,site compound,24-May-10,04-Oct-10,0.00
3951,06-May-10,"outside Anglo Irish Bank, St. Stephens Green",3,broadcast on 2FM,10-May-10,10-May-10,150.00
3952,06-May-10,Amiens Street opposite Luas,3,broadcast on 2Fm,14-May-10,14-May-10,123.00
3953,06-May-10,St. Stephens Green East,30,parking of film facilties trucks,16-May-10,19-May-10,"4,650.00"
3954,06-May-10,York Street,10,parking of filming trucks,19-May-10,19-May-10,500.00
3955,06-May-10,Clarendon Row,3,parking of filming trucks,17-May-10,18-May-10,300.00
3956,06-May-10,St. Stephens Green West,4,parking of filming trucks,17-May-10,18-May-10,400.00
3957,07-May-10,Sir John Rogerson Quay,13,parking of film equipment truck,20-May-10,20-May-10,346.00
3958,10-May-10,Stephnes Green (spaces opposite Shelbourne Hotel),8,roadhog,15-May-10,15-May-10,400.00
3959,13-May-10,outside Fitzwilliam Tennis club on Winton Road,4,roadhog,17-May-10,17-May-10,164.00
3960,17-May-10,Shelbourne Road,6,blood donation clinic @ Eirgrid,01-Jun-10,01-Jun-10,0.00
3961,20-May-10,Charlemont Mall,2,Screen on trailer,22-May-10,22-May-10,82.00
3962,20-May-10,Vicar Street,6,Filming,21-May-10,22-May-10,0.00
3963,25-May-10,Drury Street,2,film vehicle,26-May-10,27-May-10,200.00
3964,25-May-10,Dame Court,4,film vehicle,26-May-10,27-May-10,400.00
3965,25-May-10,Dame Court,2,film vehicle,27-May-10,27-May-10,100.00
3966,25-May-10,Merrion Road,6,construction of a rugby fan zone,29-May-10,29-May-10,246.00
3967,25-May-10,Ballsbridge Avenue,2,temporary loading bay,29-May-10,29-May-10,82.00
3968,25-May-10,Eccles Street,6,blood donation clinic @Mater Hospital,28-May-10,28-May-10,0.00
3969,25-May-10,"17 Shops, New Cabra Road",2,mobile unit information,18-Jun-10,18-Jun-10,54.00
3970,05-Jul-10,Eccles Street,6,Blood Donation Clinic,23-Jul-10,23-Jul-10,0.00
3971,05-Jul-10,Stephens Green North,6,Blood Donation Clinic,18-Aug-10,18-Aug-10,0.00
3972,27-May-10,Shelbourne Road,6,blood donation clinic @ Eirgrid,01-Jun-10,01-Jun-10,0.00
3973,27-May-10,Doris Street between Joy Street and Ormeau Street,17,creating 1970's street scene,02-Jun-10,02-Jun-10,697.00
3974,27-May-10,2 spaces outside 12 Lower Mountpleasant Avenue,2,moving house,30-May-10,30-May-10,54.00
3975,28-May-10,18 Merrion Road (outside Star store),3,radio broadcast,31-May-10,31-May-10,81.00
3976,28-May-10,Clonmel Street,3,delivery and build of marguees for Taste of Dublin,01-Jun-10,03-Jun-10,450.00
3977,28-May-10,Clonmel Street,3,delivery and build of marquees for Taste of Dublin,16-Jun-10,18-Jun-10,450.00
3978,14-Jun-10,Baggot Street (Outside Bank of Ireland),4,Roadhog,16-Jun-10,16-Jun-10,200.00
3979,03-Jun-10,North Frederick Street,4,3no Metro North Boreholes,02-Jun-10,05-Jun-10,800.00
3980,05-Jul-10,Blessington Street,3,Metro North Geotechnical Investigations,05-Jul-10,10-Jul-10,738.00
3981,,,,,,,0.00
3982,08-Jun-10,George's Quay,6,Blood Donation Clinic,15-Jun-10,15-Jun-10,0.00
3983,08-Jun-10,Stephens Green East,2,Marshell's Office for the Exhibition,25-Jun-10,27-Jun-10,0.00
3984,08-Jun-10,Stephens Green East,2,Marshell's Office for the Exhibition,20-Aug-10,22-Aug-10,0.00
3985,08-Jun-10,Stephens Green East,2,Marshell's Office for the Exhibition,24-Sep-10,26-Sep-10,0.00
3986,09-Jun-10,Stephens Green North,4,Unloading & loading of bikes for Bloomsday Charity bicycle rally,11-Jun-10,11-Jun-10,0.00
3987,09-Jun-10,Hume Street,4,Unloading & loading of bikes for Bloomsday Charity bicycle rally,11-Jun-10,11-Jun-10,0.00
3988,10-Jun-10,Fitzwilliam Street Lower,16,Loading and unloading equipment into Merrion Square Park,18-Jun-10,21-Jun-10,0.00
3989,10-Jun-10,Fitzwilliam Street Lower,16,Portakabin for Festival equipment,14-Jun-10,21-Jun-10,0.00
3990,10-Jun-10,Merrion Square North,16,using car parking spaces to extend the footpath,19-Jun-10,20-Jun-10,0.00
3991,18-Jun-10,Vernon Avenue,8,Health & Safety Zone,19-Jun-10,19-Jun-10,0.00
3992,21-Jun-10,Wilfrid Road,6,Filming,22-Jun-10,22-Jun-10,162.00
3993,21-Jun-10,Kenilworth Square,20,Filming,22-Jun-10,22-Jun-10,540.00
3994,22-Jun-10,Eccles Street,6,Blood Donation Clinic,25-Jun-10,25-Jun-10,0.00
3995,22-Jun-10,Hatch Street,6,Blood Donation Clinic,05-Jul-10,08-Jul-10,0.00
3996,22-Jun-10,Benson Street,6,Blood Donation Clinic,14-Jul-10,14-Jul-10,0.00
3997,23-Jun-10,Inchicore Road,25,Vehicles for filming,30-Jun-10,01-Jul-10,950.00
3998,28-Jun-10,Barrow Street,6,Blood Donation Clinic,30-Jun-10,01-Jul-10,0.00
3999,28-Jun-10,Ely Place,2,Unloading/Loading,30-Jun-10,30-Jun-10,100.00
4000,29-Jun-10,Bride Street,6,Blood Donation Clinic,08-Jul-10,08-Jul-10,0.00
4001,29-Jun-10,Hendrick Street,6,Blood Donation Clinic,21-Jul-10,21-Jul-10,0.00
4002,30-Jun-10,Windmill Lane,12,Filming,05-Jul-10,05-Jul-10,492.00
4003,30-Jun-10,Creighton Street,6,Filming,05-Jul-01,05-Jul-10,246.00
4004,30-Jun-10,Lennox Street,12,Filming,06-Jul-10,06-Jul-10,492.00
4005,05-Jul-10,Sir John Rogerson's Quay,5,Filming,07-Jul-10,09-Jul-10,486.00
4006,06-Jul-10,Ely Place,2,Loading/Unloading,06-Jul-10,06-Jul-10,100.00
4007,05-Jul-10,Sir John Rogerson's Quay,5,Filming,12-Jul-09,13-Jul-10,324.00
4008,12-Jul-10,Meath Street,8,Filming,14-Jul-10,14-Jul-10,328.00
4009,12-Jul-10,Lennox Street,8,Filming,14-Jul-10,14-Jul-10,328.00
4010,12-Jul-10,Stamer Street,4,Filming,14-Jul-10,14-Jul-10,164.00
4011,21-Jul-10,Stephens Green North,4,Roadhog,12-Aug-10,12-Aug-10,200.00
4012,28-Jul-10,Stephens Green North,3,Outside Broadcast,29-Jul-10,29-Jul-10,150.00
